2025-12-11 11:13:41.757 [taskExecutor-1] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/chuangyebang 执行结束，耗时 474 ms
2025-12-11 11:13:41.761 [taskExecutor-8] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/aiqiyi/zongbang
2025-12-11 11:13:41.761 [taskExecutor-8] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/aiqiyi/zongbang 执行结束，耗时 305 ms
2025-12-11 11:13:41.850 [taskExecutor-16] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/zhiwubuyankuajingdianshangshequ
2025-12-11 11:13:41.850 [taskExecutor-16] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/zhiwubuyankuajingdianshangshequ 执行结束，耗时 1148 ms
2025-12-11 11:13:41.851 [taskExecutor-15] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/zhanzhangzhijia
2025-12-11 11:13:41.851 [taskExecutor-15] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/zhanzhangzhijia 执行结束，耗时 240 ms
2025-12-11 11:13:41.900 [taskExecutor-3] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/youxituoluo
2025-12-11 11:13:41.900 [taskExecutor-3] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/youxituoluo 执行结束，耗时 265 ms
2025-12-11 11:13:41.932 [taskExecutor-4] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/zaker
2025-12-11 11:13:41.933 [taskExecutor-4] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/zaker 执行结束，耗时 322 ms
2025-12-11 11:13:41.940 [taskExecutor-10] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/meimanbaike
2025-12-11 11:13:41.940 [taskExecutor-10] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/meimanbaike 执行结束，耗时 330 ms
2025-12-11 11:13:41.996 [taskExecutor-11] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/jingjiguanchawang
2025-12-11 11:13:41.996 [taskExecutor-11] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/jingjiguanchawang 执行结束，耗时 841 ms
2025-12-11 11:13:42.006 [taskExecutor-15] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/jinrongjie
2025-12-11 11:13:42.006 [taskExecutor-15] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/jinrongjie 执行结束，耗时 155 ms
2025-12-11 11:13:42.020 [taskExecutor-16] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/baidu/youxi
2025-12-11 11:13:42.020 [taskExecutor-16] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/baidu/youxi 执行结束，耗时 169 ms
2025-12-11 11:13:42.042 [taskExecutor-20] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/bbc
2025-12-11 11:13:42.042 [taskExecutor-20] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/bbc 执行结束，耗时 649 ms
2025-12-11 11:13:42.044 [taskExecutor-2] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/buxingjiehupu
2025-12-11 11:13:42.044 [taskExecutor-2] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/buxingjiehupu 执行结束，耗时 407 ms
2025-12-11 11:13:42.101 [taskExecutor-14] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/aimeiwang
2025-12-11 11:13:42.101 [taskExecutor-14] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/aimeiwang 执行结束，耗时 1211 ms
2025-12-11 11:13:42.149 [taskExecutor-20] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/jiemodui
2025-12-11 11:13:42.149 [taskExecutor-20] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/jiemodui 执行结束，耗时 106 ms
2025-12-11 11:13:42.158 [taskExecutor-18] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/jikegongyuan
2025-12-11 11:13:42.158 [taskExecutor-18] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/jikegongyuan 执行结束，耗时 520 ms
2025-12-11 11:13:42.227 [taskExecutor-16] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/mangguo/dianying
2025-12-11 11:13:42.227 [taskExecutor-16] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/mangguo/dianying 执行结束，耗时 207 ms
2025-12-11 11:13:42.231 [taskExecutor-6] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/tuyawangguo/hot
2025-12-11 11:13:42.231 [taskExecutor-6] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tuyawangguo/hot 执行结束，耗时 557 ms
2025-12-11 11:13:42.246 [taskExecutor-9] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/aiqiyi/dianshiju
2025-12-11 11:13:42.246 [taskExecutor-9] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/aiqiyi/dianshiju 执行结束，耗时 568 ms
